No.,tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change,attend_manual,vent_manual
74,2019-10-28 20:07:36,440.366,6910081.1,26912798.0,498.0,1656925.5,4212639.0,-1.0,-91847.97999999998,-293620.0,0.0,0.0
75,2019-10-28 20:08:36,441.377,6761304.899999999,26782688.0,497.0,1599070.39,5594879.0,-1.0,-57855.1100000001,1382240.0,0.0,0.0
76,2019-10-28 20:09:36,445.421,6724982.299999999,27695877.0,496.0,1667156.92,4270504.0,-1.0,68086.53000000003,-1324375.0,0.0,0.0
77,2019-10-28 20:10:36,424.19,6640190.899999999,15326051.0,497.0,1703918.895,3592526.0,1.0,36761.97500000009,-677978.0,0.0,0.0
78,2019-10-28 20:11:36,420.146,6748336.1,12993388.0,497.0,1714406.9699999997,3746228.0,0.0,10488.07499999972,153702.0,0.0,0.0
79,2019-10-28 20:12:36,431.267,6832837.199999999,14376882.0,497.0,1676646.13,4298901.0,0.0,-37760.83999999985,552673.0,0.0,0.0
80,2019-10-28 20:13:36,440.366,7032401.899999999,34523759.0,496.0,1683917.1149999998,3831017.0,-1.0,7270.98499999987,-467884.0,0.0,0.0
81,2019-10-28 20:14:36,454.52,7048426.25,46225863.0,495.0,1677175.65,5815310.0,-1.0,-6741.464999999851,1984293.0,0.0,0.0
82,2019-10-28 20:15:36,440.366,7336482.649999999,35277839.0,495.0,1711821.755,4695582.0,0.0,34646.10499999998,-1119728.0,0.0,0.0
83,2019-10-28 20:16:36,451.487,7052524.699999999,17728919.0,494.0,1667503.8199999998,3688988.0,-1.0,-44317.935000000056,-1006594.0,0.0,0.0
84,2019-10-28 20:17:36,458.564,7198145.0,11277839.0,492.0,1678824.295,3393228.0,-2.0,11320.475000000093,-295760.0,0.0,0.0
85,2019-10-28 20:18:36,426.212,7131389.6,12004120.0,491.0,1673190.67,3686473.0,-1.0,-5633.625,293245.0,0.0,0.0
86,2019-10-28 20:19:36,432.278,7186339.449999999,15893133.0,491.0,1700287.2799999998,4742639.0,0.0,27096.60999999987,1056166.0,0.0,0.0
87,2019-10-28 20:20:36,449.465,7341839.3,17649283.0,491.0,1685614.6199999999,3919019.0,0.0,-14672.659999999916,-823620.0,0.0,0.0
88,2019-10-28 20:21:36,451.487,7367981.55,10962392.0,491.0,1682583.8599999999,5058113.0,0.0,-3030.7600000000093,1139094.0,0.0,0.0
89,2019-10-28 20:22:36,444.41,7415291.899999999,9844081.0,491.0,1707985.3199999998,3240195.0,0.0,25401.459999999963,-1817918.0,0.0,0.0
90,2019-10-28 20:23:36,436.322,7602761.499999999,11181127.0,491.0,1680887.7,3778682.0,0.0,-27097.61999999988,538487.0,0.0,0.0
91,2019-10-28 20:24:36,430.256,7619522.1,10005326.0,490.0,1700334.0099999998,4038779.0,-1.0,19446.309999999823,260097.0,0.0,0.0
92,2019-10-28 20:25:36,419.135,7859046.35,10390655.0,489.0,1717829.54,4553968.0,-1.0,17495.53000000026,515189.0,0.0,0.0
93,2019-10-28 20:26:36,429.245,7712516.1,9852418.0,488.0,1729132.04,3572687.0,-1.0,11302.5,-981281.0,0.0,0.0
94,2019-10-28 20:27:36,435.311,6994229.5,11225946.0,488.0,1691492.64,3602057.0,0.0,-37639.40000000014,29370.0,0.0,0.0
95,2019-10-28 20:28:36,443.399,7348527.699999999,11600454.0,489.0,1712243.0299999998,4717478.0,1.0,20750.389999999898,1115421.0,0.0,0.0
96,2019-10-28 20:29:36,440.366,7657205.55,18738970.0,488.0,1742136.125,4759588.0,-1.0,29893.095000000205,42110.0,0.0,0.0
97,2019-10-28 20:30:36,445.421,7623619.749999999,15963863.0,486.0,1752063.1199999999,4649636.0,-2.0,9926.994999999879,-109952.0,0.0,0.0
98,2019-10-28 20:31:36,454.52,7605212.8,15214434.0,486.0,1736013.0299999998,3793937.0,0.0,-16050.090000000084,-855699.0,0.0,0.0
99,2019-10-28 20:32:36,455.531,7671173.999999999,11894793.0,486.0,1714765.4249999998,4273019.0,0.0,-21247.60499999998,479082.0,0.0,0.0
100,2019-10-28 20:33:36,443.399,7720878.999999999,9557854.0,485.0,1680442.185,2875149.0,-1.0,-34323.23999999976,-1397870.0,0.0,0.0
101,2019-10-28 20:34:36,440.366,7696244.55,9783132.0,485.0,1670208.2449999999,3580453.0,0.0,-10233.940000000177,705304.0,0.0,0.0
102,2019-10-28 20:35:36,444.41,7770154.999999999,9890819.0,485.0,1677855.4,4639384.0,0.0,7647.155000000028,1058931.0,0.0,0.0
103,2019-10-28 20:36:36,447.443,7460380.649999999,9374630.0,485.0,1710824.7199999997,4323243.0,0.0,32969.31999999983,-316141.0,0.0,0.0
104,2019-10-28 20:37:36,444.41,7316880.05,8932086.0,484.0,1725587.8599999999,3212644.0,-1.0,14763.14000000013,-1110599.0,0.0,0.0
105,2019-10-28 20:38:36,446.432,7403708.35,8970237.0,482.0,1718666.525,3596779.0,-2.0,-6921.334999999963,384135.0,0.0,0.0
106,2019-10-28 20:39:36,443.399,7462580.149999999,17581539.0,482.0,1696772.44,3007649.0,0.0,-21894.084999999963,-589130.0,0.0,0.0
107,2019-10-28 20:40:36,446.432,7393428.199999999,14944406.0,481.0,1713747.4699999997,4784651.0,-1.0,16975.029999999795,1777002.0,0.0,0.0
108,2019-10-28 20:41:36,454.52,7307745.899999999,10678928.0,482.0,1711578.585,3126784.0,1.0,-2168.8849999997765,-1657867.0,0.0,0.0
109,2019-10-28 20:42:36,449.465,7353838.199999999,9242255.0,482.0,1745406.39,3842690.0,0.0,33827.804999999935,715906.0,0.0,0.0
110,2019-10-28 20:43:36,447.443,7398967.449999999,11499658.0,481.0,1733993.5949999997,3475129.0,-1.0,-11412.795000000158,-367561.0,0.0,0.0
111,2019-10-28 20:44:36,456.542,7515297.8,19337631.0,481.0,1737547.4499999997,4037333.0,0.0,3553.8549999999814,562204.0,0.0,0.0
112,2019-10-28 20:45:36,444.41,7483876.05,20385893.0,481.0,1769872.435,4439738.0,0.0,32324.985000000335,402405.0,0.0,0.0
