tt,0.3_outdoor,0.5_outdoor,1.0_outdoor,3.0_outdoor,5.0_outdoor,10.0_outdoor,0.3_classroom,0.5_classroom,1.0_classroom,3.0_classroom,5.0_classroom,10.0_classroom,CO2_outdoor,CO2_classroom,PM2.5_outdoor,PM10_outdoor,PM2.5_classroom,PM10_classroom,PM2.5_classroom_change,PM10_classroom_change,CO2_classroom_change,time
2019-12-02 15:23:02,1860643.4399999997,1180653.75,1153004.0,2194344.0,5653750.0,6714000.0,364690.88999999996,389090.125,458304.0,849123.0,1590125.0,707000.0,422.4,630.0,4254104.598000002,13749135.6,1343851.329,4137362.6,-40432.55500000017,-347814.8000000003,0.0,0.6327053285625162
2019-12-02 15:24:02,1760571.7199999997,1130300.375,1144876.0,2347002.0,5874500.0,6007000.0,338816.51999999996,372835.75,396113.0,667845.0,1060125.0,707000.0,421.4,630.0,4204158.764000001,13445609.6,1275430.44,3519238.0,-68420.88899999997,-618124.6000000001,0.0,0.6293203910498371
2019-12-02 15:25:02,1617271.38,1031625.5,1095760.0,2089395.0,5918750.0,2473000.0,332023.58999999997,354461.125,393993.0,753705.0,1413375.0,707000.0,421.8,630.0,4098088.4700000016,13027850.4,1205691.1989999998,3211591.6,-69739.24100000015,-307646.3999999999,0.0,0.625923472184059
2019-12-02 15:26:02,1489255.1999999997,955918.75,1053357.0,1965384.0,4461125.0,5654000.0,320088.23999999993,342358.625,357597.0,581985.0,1325125.0,1060000.0,423.4,630.0,3949327.4810000015,12762611.6,1134027.3979999998,3120429.8,-71663.80099999998,-91161.80000000028,0.0,0.6225146366376196
2019-12-02 15:27:02,1429673.7599999998,921466.5,1006714.0,2137104.0,5035375.0,4594000.0,307742.75999999995,320538.875,325442.0,457947.0,1899250.0,1413000.0,421.6,630.0,3766218.2750000013,12623745.8,1074819.0999999999,3038521.0,-59208.29799999995,-81908.79999999981,0.0,0.6190939493098343
2019-12-02 15:28:02,1398676.41,921422.25,1003887.0,2222964.0,5830375.0,5300000.0,289005.02999999997,308038.875,333216.0,543807.0,1015875.0,1413000.0,417.2,630.0,3592155.169000001,12381994.8,1018454.078,3003807.8,-56365.02199999988,-34713.200000000186,0.0,0.6156614753256581
2019-12-02 15:29:02,1341575.7299999997,889266.75,1052650.0,2432862.0,5167875.0,6007000.0,273978.44999999995,295362.25,315548.0,601047.0,1236750.0,1413000.0,415.4,624.2,3441704.0460000015,12257841.8,973878.7640000001,3166973.2,-44575.3139999999,163165.40000000037,-5.7999999999999545,0.6122172800344493
2019-12-02 15:30:02,1288329.2999999998,857155.5,1000353.0,2098953.0,5697875.0,6714000.0,265382.35199999996,282994.75,310247.0,410238.0,971750.0,2473000.0,413.4,616.2,3321940.230000002,13063778.4,929508.0414000001,3363154.8,-44370.72259999998,196181.59999999963,-8.0,0.6087614290087209
2019-12-02 15:31:02,1281154.8599999999,844920.5,948410.0,2165724.0,5477000.0,4594000.0,249449.48999999996,275574.25,300000.0,448416.0,883375.0,1413000.0,410.8,609.0,3237131.112000002,13095021.4,890504.0164000001,3318691.0,-39004.02500000002,-44463.799999999814,-7.2000000000000455,0.6052939880428941
2019-12-02 15:32:02,1274085.18,844788.0,934982.0,2213433.0,5079500.0,3534000.0,242809.19099999996,263250.875,271732.0,534276.0,839250.0,1767000.0,411.6,600.6,3176331.296000002,12907112.2,855317.7026000001,3192756.8,-35186.3138,-125934.20000000019,-8.399999999999977,0.6018150231520483
